m,TagName,
"2010-12-01 00:00:00","java","5678"
"2010-12-01 00:00:00","javascript","4954"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5388"
"2010-12-01 00:00:00","python","2482"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1023"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1460"
"2011-01-01 00:00:00","c#","7985"
"2011-01-01 00:00:00","c++","3491"
"2011-01-01 00:00:00","delphi","369"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6538"
"2011-01-01 00:00:00","javascript","5424"
"2011-01-01 00:00:00","perl","478"
"2011-01-01 00:00:00","php","6434"
"2011-01-01 00:00:00","python","2902"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","ruby","1203"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1635"
"2011-02-01 00:00:00","c#","8222"
"2011-02-01 00:00:00","c++","3442"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6870"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","perl","482"
"2011-02-01 00:00:00","php","6710"
"2011-02-01 00:00:00","python","3011"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9987"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8474"
"2011-03-01 00:00:00","javascript","6769"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8106"
"2011-03-01 00:00:00","python","3749"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1638"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2038"
"2011-04-01 00:00:00","c#","9280"
"2011-04-01 00:00:00","c++","4163"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7898"
"2011-04-01 00:00:00","javascript","6879"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","php","7652"
"2011-04-01 00:00:00","python","3340"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1823"
"2011-05-01 00:00:00","c#","10015"
"2011-05-01 00:00:00","c++","3882"
"2011-05-01 00:00:00","delphi","475"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8567"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8103"
"2011-05-01 00:00:00","python","3513"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1566"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1762"
"2011-06-01 00:00:00","c#","9760"
"2011-06-01 00:00:00","c++","3810"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7910"
"2011-06-01 00:00:00","javascript","7685"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8045"
"2011-06-01 00:00:00","python","3468"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9609"
"2011-07-01 00:00:00","c++","3850"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8160"
"2011-07-01 00:00:00","javascript","8115"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","php","8696"
"2011-07-01 00:00:00","python","3662"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","160"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10071"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8690"
"2011-08-01 00:00:00","javascript","8913"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","php","8941"
"2011-08-01 00:00:00","python","3827"
"2011-08-01 00:00:00","r","587"
"2011-08-01 00:00:00","ruby","1859"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9307"
"2011-09-01 00:00:00","c++","3944"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8331"
"2011-09-01 00:00:00","javascript","8198"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8080"
"2011-09-01 00:00:00","python","3520"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1548"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9229"
"2011-10-01 00:00:00","c++","4355"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8563"
"2011-10-01 00:00:00","javascript","8043"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","8082"
"2011-10-01 00:00:00","python","3625"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","ruby","1616"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","210"
"2011-11-01 00:00:00","c","2198"
"2011-11-01 00:00:00","c#","9914"
"2011-11-01 00:00:00","c++","4483"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9653"
"2011-11-01 00:00:00","javascript","8696"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8698"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-11-01 00:00:00","ruby","1740"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","c#","9323"
"2011-12-01 00:00:00","c++","4362"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9213"
"2011-12-01 00:00:00","javascript","8346"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8350"
"2011-12-01 00:00:00","python","3621"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1685"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2234"
"2012-01-01 00:00:00","c#","10458"
"2012-01-01 00:00:00","c++","4548"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10150"
"2012-01-01 00:00:00","javascript","9613"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9331"
"2012-01-01 00:00:00","python","4212"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1907"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","c#","10765"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10961"
"2012-02-01 00:00:00","javascript","9998"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9945"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2046"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2731"
"2012-03-01 00:00:00","c#","11604"
"2012-03-01 00:00:00","c++","5235"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12408"
"2012-03-01 00:00:00","javascript","10719"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10909"
"2012-03-01 00:00:00","python","5039"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2194"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2669"
"2012-04-01 00:00:00","c#","11133"
"2012-04-01 00:00:00","c++","5309"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12034"
"2012-04-01 00:00:00","javascript","10675"
"2012-04-01 00:00:00","perl","599"
"2012-04-01 00:00:00","php","10422"
"2012-04-01 00:00:00","python","4920"
"2012-04-01 00:00:00","r","842"
"2012-04-01 00:00:00","ruby","1971"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c","2483"
"2012-05-01 00:00:00","c#","11578"
"2012-05-01 00:00:00","c++","4990"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12186"
"2012-05-01 00:00:00","javascript","11526"
"2012-05-01 00:00:00","perl","643"
"2012-05-01 00:00:00","php","10944"
"2012-05-01 00:00:00","python","5102"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","ruby","1978"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2309"
"2012-06-01 00:00:00","c#","11324"
"2012-06-01 00:00:00","c++","4650"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11103"
"2012-06-01 00:00:00","javascript","11235"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10590"
"2012-06-01 00:00:00","python","5279"
"2012-06-01 00:00:00","r","974"
"2012-06-01 00:00:00","ruby","1888"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12317"
"2012-07-01 00:00:00","c++","5279"
"2012-07-01 00:00:00","delphi","440"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12252"
"2012-07-01 00:00:00","javascript","12314"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","php","11739"
"2012-07-01 00:00:00","python","5724"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","ruby","2060"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2317"
"2012-08-01 00:00:00","c#","11943"
"2012-08-01 00:00:00","c++","5161"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12254"
"2012-08-01 00:00:00","javascript","12434"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11893"
"2012-08-01 00:00:00","python","5860"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","c","2529"
"2012-09-01 00:00:00","c#","11275"
"2012-09-01 00:00:00","c++","4909"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11616"
"2012-09-01 00:00:00","javascript","11171"
"2012-09-01 00:00:00","perl","663"
"2012-09-01 00:00:00","php","10996"
"2012-09-01 00:00:00","python","5247"
"2012-09-01 00:00:00","r","1059"
"2012-09-01 00:00:00","ruby","1958"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12717"
"2012-10-01 00:00:00","c++","5913"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","102"
"2012-10-01 00:00:00","java","13496"
"2012-10-01 00:00:00","javascript","12425"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11787"
"2012-10-01 00:00:00","python","6125"
